x_of13_m,x_v2_m,z_m,winkel_grad,n_facetten,tau_t_m2s2,cf,cp_wand,p_wand_Pa,wandabstand_m,u_erstezelle_ms
1.16398,3.37028,1.01094,20.3738,42,-0.170079,-0.000377952,-0.129556,-71.4176,0.000312502,7.00363
1.17483,3.38113,1.00697,21.9364,48,-0.201288,-0.000447307,-0.110712,-61.03,0.000312409,7.09421
1.18506,3.39136,1.00245,23.3186,40,-0.139134,-0.000309187,-0.128782,-70.991,0.000312409,6.82041
1.1952,3.4015,0.998186,22.691,44,-0.105875,-0.000235278,-0.137422,-75.7539,0.000312446,6.65428
1.20585,3.41215,0.99376,21.3918,46,-0.0915156,-0.000203368,-0.139635,-76.9738,0.000312496,6.57723
1.21615,3.42245,0.989975,21.0846,40,-0.130978,-0.000291063,-0.119613,-65.9367,0.000312526,6.66578
1.22574,3.43204,0.986094,22.0575,40,-0.131221,-0.000291603,-0.116268,-64.0925,0.000312488,6.59628
1.23531,3.44161,0.982213,22.1411,40,-0.13481,-0.000299577,-0.113254,-62.431,0.0003125,6.54696
1.24487,3.45117,0.978311,22.2215,40,-0.138738,-0.000308307,-0.109914,-60.5899,0.000312463,6.48086
1.25439,3.46069,0.97442,22.2294,40,-0.144066,-0.000320147,-0.106374,-58.6389,0.000312446,6.40987
1.2639,3.4702,0.970533,21.9818,40,-0.151453,-0.000336562,-0.102985,-56.7707,0.000312485,6.34155
1.27379,3.48009,0.966588,21.1063,42,-0.173138,-0.00038475,-0.0941457,-51.8978,0.000312466,6.34566
1.28451,3.49081,0.962575,22.482,48,-0.21375,-0.000475,-0.0773176,-42.6213,0.000312529,6.45675
1.29497,3.50127,0.957821,24.5828,40,-0.176891,-0.00039309,-0.0927356,-51.1205,0.00031249,6.05256
1.30559,3.51189,0.952933,22.2395,50,-0.134218,-0.000298262,-0.109518,-60.3719,0.000312476,5.46287
1.31642,3.52272,0.949053,20.8303,40,-0.195882,-0.000435294,-0.0845775,-46.6234,0.000312492,5.71705
1.32605,3.53235,0.945148,22.1127,40,-0.203541,-0.000452314,-0.081606,-44.9853,0.000312488,5.58672
1.33556,3.54186,0.941276,22.0967,40,-0.211133,-0.000469184,-0.0787552,-43.4138,0.000312489,5.47479
1.34505,3.55135,0.937434,21.8904,40,-0.218773,-0.000486162,-0.0762319,-42.0228,0.000312488,5.37486
1.3546,3.5609,0.933624,21.8536,40,-0.224478,-0.000498841,-0.0741227,-40.8601,0.00031249,5.29628
1.36415,3.57045,0.929775,21.8593,40,-0.226825,-0.000504055,-0.0720799,-39.734,0.000312509,5.20829
1.37371,3.58001,0.925958,20.2788,40,-0.226296,-0.000502879,-0.0701253,-38.6565,0.000312522,5.12401
1.38456,3.59086,0.922234,21.4187,50,-0.27129,-0.000602867,-0.0503647,-27.7636,0.000312468,5.66084
1.39531,3.60161,0.917485,22.8637,40,-0.211736,-0.000470524,-0.0655954,-36.1595,0.000312513,4.96679
1.40462,3.61092,0.913776,25.5738,40,-0.199226,-0.000442725,-0.0629973,-34.7273,0.000312407,4.92911
1.41534,3.62164,0.907902,35.4903,50,-0.122222,-0.000271605,-0.0757849,-41.7764,0.000311987,4.13546
1.42602,3.63232,0.898517,46.755,60,0.0483895,0.000107532,-0.0758125,-41.7917,0.000311913,2.35554
